district,city,floor,price,rooms,sq,year,price_per_sq,update_date,offer_url
Podgórze,Kraków,2,749000.00,3,74.05,2021,10114.79,2020-01-01,
Krowodrza,Kraków,2,427000.00,2,37.00,1970,11540.54,2020-01-01,
Nowa Huta,Kraków,2,414600.00,1,34.55,2022,12000.00,2020-01-01,
Podgórze,Kraków,0,750000.00,4,81.40,2021,9213.76,2020-01-01,
Nowa Huta,Kraków,1,756707.40,4,82.43,2021,9180.00,2020-01-01,
Stare Miasto,Kraków,0,949000.00,2,84.80,1936,11191.04,2020-01-01,
Prądnik Biały,Kraków,6,405900.00,2,41.00,2022,9900.00,2020-01-01,
Dębniki,Kraków,4,699000.00,2,60.00,2010,11650.00,2020-01-01,
Nowa Huta,Kraków,2,529000.00,3,53.84,2021,9825.41,2020-01-01,
Zwierzyniec,Kraków,0,899000.00,3,74.44,2020,12076.84,2020-01-01,
Podgórze Duchackie,Kraków,6,539000.00,3,57.81,2021,9323.65,2020-01-01,
Grzegórzki,Kraków,8,971904.00,3,75.93,2021,12800.00,2020-01-01,
Dębniki,Kraków,1,266500.00,1,31.59,2020,8436.21,2020-01-01,
Nowa Huta,Kraków,6,498000.00,2,49.08,2019,10146.70,2020-01-01,
Krowodrza,Kraków,10,455000.00,3,45.00,1976,10111.11,2020-01-01,
Bronowice,Kraków,4,1038636.00,3,88.02,2021,11800.00,2020-01-01,
Prądnik Czerwony,Kraków,2,349000.00,2,37.06,1980,9417.16,2020-01-01,
Nowa Huta,Kraków,3,709000.00,2,53.40,1926,13277.15,2020-01-01,
Grzegórzki,Kraków,0,730000.00,3,73.81,2013,9890.26,2020-01-01,
Podgórze,Kraków,4,439000.00,3,48.20,1980,9107.88,2020-01-01,
Podgórze,Kraków,2,543558.00,3,53.00,2021,10255.81,2020-01-01,
Bieżanów-Prokocim,Kraków,4,290829.00,2,37.77,2021,7700.00,2020-01-01,
Nowa Huta,Kraków,1,580000.00,3,62.00,2014,9354.84,2020-01-01,
Stare Miasto,Kraków,3,429000.00,2,46.69,2021,9188.26,2020-01-01,
Podgórze Duchackie,Kraków,5,546910.00,3,60.10,2021,9100.00,2020-01-01,
Bronowice,Kraków,1,302111.20,1,29.33,2021,10300.42,2020-01-01,
Mistrzejowice,Kraków,1,502374.00,4,66.12,2020,7597.91,2020-01-01,
Prądnik Biały,Kraków,5,418362.00,3,46.94,2021,8912.70,2020-01-01,
Prądnik Czerwony,Kraków,2,510000.00,3,52.83,1980,9653.61,2020-01-01,
Dębniki,Kraków,1,529900.00,2,54.00,2007,9812.96,2020-01-01,
Prądnik Biały,Kraków,1,440000.00,2,48.40,2008,9090.91,2020-01-01,
Bieżanów-Prokocim,Kraków,0,498312.00,4,61.52,2021,8100.00,2020-01-01,
Prądnik Czerwony,Kraków,3,680000.00,3,61.01,2017,11145.71,2020-01-01,
Mistrzejowice,Kraków,6,756284.00,4,87.94,2020,8600.00,2020-01-01,
Nowa Huta,Kraków,1,305370.00,1,26.10,2022,11700.00,2020-01-01,
Podgórze Duchackie,Kraków,7,369000.00,2,38.86,2021,9495.63,2020-01-01,
Podgórze Duchackie,Kraków,6,419000.00,2,44.26,2020,9466.79,2020-01-01,
Podgórze,Kraków,1,523000.00,3,65.38,2022,7999.39,2020-01-01,
Bieżanów-Prokocim,Kraków,6,619000.00,3,62.50,2014,9904.00,2020-01-01,
Podgórze Duchackie,Kraków,0,319000.00,2,35.41,2021,9008.75,2020-01-01,
Prądnik Biały,Kraków,4,519000.00,2,55.67,2014,9322.80,2020-01-01,
Prądnik Biały,Kraków,1,528381.00,3,57.90,2021,9125.75,2020-01-01,
Stare Miasto,Kraków,9,532350.00,3,68.25,2018,7800.00,2020-01-01,
Krowodrza,Kraków,1,630015.00,3,48.50,2020,12990.00,2020-01-01,
Nowa Huta,Kraków,3,535200.00,3,55.75,2022,9600.00,2020-01-01,
Nowa Huta,Kraków,2,295000.00,2,27.00,2019,10925.93,2020-01-01,
Dębniki,Kraków,4,352644.00,2,35.27,2021,9998.41,2020-01-01,
Podgórze Duchackie,Kraków,1,749000.00,4,88.73,2020,8441.34,2020-01-01,
Dębniki,Kraków,2,660000.00,3,67.21,2021,9819.97,2020-01-01,
Nowa Huta,Kraków,2,335000.00,1,38.00,1976,8815.79,2020-01-01,
Mistrzejowice,Kraków,3,409530.00,2,48.18,2022,8500.00,2020-01-01,
Nowa Huta,Kraków,2,468966.00,3,49.89,2022,9400.00,2020-01-01,
Grzegórzki,Kraków,4,1026066.00,3,83.42,2021,12300.00,2020-01-01,
Bronowice,Kraków,3,596646.00,2,46.98,2022,12700.00,2020-01-01,
Prądnik Biały,Kraków,0,315000.00,2,37.00,1968,8513.51,2020-01-01,
Łagiewniki-Borek Fałęcki,Kraków,4,399000.00,3,45.50,2020,8769.23,2020-01-01,
Podgórze,Kraków,0,466000.00,3,48.80,1970,9549.18,2020-01-01,
Dębniki,Kraków,1,397992.00,2,43.26,2021,9200.00,2020-01-01,
Prądnik Biały,Kraków,4,465000.00,3,49.02,2020,9485.92,2020-01-01,
Bieżanów-Prokocim,Kraków,0,460000.00,2,46.30,2014,9935.21,2020-01-01,
Nowa Huta,Kraków,3,350000.00,1,36.90,1956,9485.09,2020-01-01,
Grzegórzki,Kraków,7,330000.00,2,36.00,1980,9166.67,2020-01-01,
Bieżanów-Prokocim,Kraków,4,547470.00,4,71.10,2021,7700.00,2020-01-01,
Bieżanów-Prokocim,Kraków,1,611000.00,3,64.00,2018,9546.88,2020-01-01,
