address,city,floor,latitude,longitude,price,rooms,sq,year,price_per_sq
Podgórze,Kraków,2.0,50.0492242,19.9703793,749000.0,3.0,74.05,2021.0,10114.78730587441
Krowodrza,Kraków,2.0,50.0669642,19.9200249,427000.0,2.0,37.0,1970.0,11540.54054054054
Nowa Huta,Kraków,2.0,50.0469432,19.997153435836697,414600.0,1.0,34.55,2022.0,12000.000000000002
Stare Miasto,Kraków,0.0,50.0590398,19.93716829792899,949000.0,2.0,84.8,1936.0,11191.037735849057
Dębniki,Kraków,4.0,50.0206269,19.8981903,699000.0,2.0,60.0,2010.0,11650.0
Zwierzyniec,Kraków,0.0,50.067974,19.8748544,899000.0,3.0,74.44,2020.0,12076.84040838259
Grzegórzki,Kraków,8.0,50.058444,19.9702351,971904.0,3.0,75.93,2021.0,12799.999999999998
Dębniki,Kraków,1.0,49.9988318,19.8938784,266500.0,1.0,31.59,2020.0,8436.213991769548
Krowodrza,Kraków,10.0,50.07087985,19.91656311814478,455000.0,3.0,45.0,1976.0,10111.111111111111
Bronowice,Kraków,4.0,50.0778251,19.90068098696576,1038636.0,3.0,88.02,2021.0,11800.0
Nowa Huta,Kraków,3.0,50.0469432,19.997153435836697,709000.0,2.0,53.4,1926.0,13277.153558052434
Podgórze,Kraków,2.0,50.0498929,19.9906026,543558.0,3.0,53.0,2021.0,10255.811320754718
Bronowice,Kraków,1.0,50.0788285,19.8942504,302111.2,1.0,29.33,2021.0,10300.415956358678
Prądnik Czerwony,Kraków,3.0,50.1609054,19.743089127291668,680000.0,3.0,61.01,2017.0,11145.713817406982
Nowa Huta,Kraków,1.0,50.0558029,19.9993305,305370.0,1.0,26.1,2022.0,11700.0
Krowodrza,Kraków,1.0,50.073573,19.9193678,630015.0,3.0,48.5,2020.0,12990.0
Nowa Huta,Kraków,2.0,50.0816349,20.016490706002102,295000.0,2.0,27.0,2019.0,10925.925925925923
Nowa Huta,Kraków,2.0,50.0921707,20.0255051,335000.0,1.0,38.0,1976.0,8815.78947368421
Grzegórzki,Kraków,4.0,50.058444,19.9702351,1026066.0,3.0,83.42,2021.0,12300.0
Bronowice,Kraków,3.0,50.0778251,19.90068098696576,596646.0,2.0,46.98,2022.0,12700.0
Nowa Huta,Kraków,3.0,50.0779373,20.0341341,350000.0,1.0,36.9,1956.0,9485.09485094851
Dębniki,Kraków,3.0,50.0517401,19.9311178,944760.0,3.0,78.73,2015.0,12000.0
Stare Miasto,Kraków,1.0,50.051855,19.9449466,1000000.0,3.0,78.7,1900.0,12706.480304955528
Podgórze,Kraków,2.0,50.027406600000006,19.94132055000001,410000.0,2.0,34.6,2020.0,11849.71098265896
Bieżanów-Prokocim,Kraków,1.0,50.0096842,20.0092457,590000.0,4.0,56.42,2015.0,10457.284650833037
Podgórze,Kraków,5.0,50.0492242,19.9703793,569000.0,3.0,54.36,2021.0,10467.255334805004
Dębniki,Kraków,2.0,50.0076191,19.8888826,569000.0,3.0,50.7,2020.0,11222.879684418143
Podgórze,Kraków,1.0,50.0345327,19.9754459,760000.0,5.0,79.6,2015.0,9547.738693467338
Podgórze,Kraków,4.0,50.0478769,19.961368688357496,649000.0,3.0,61.11,2021.0,10620.1930944199
Prądnik Czerwony,Kraków,5.0,50.0878647,19.9683977,649000.0,2.0,55.21,2020.0,11755.116826661835
Wzgórza Krzesławickie,Kraków,0.0,50.1047809,20.0362743,197028.0,1.0,25.26,2022.0,7799.999999999999
Podgórze,Kraków,3.0,50.0361989,20.000282,1150000.0,4.0,86.0,2018.0,13372.093023255817
