address,city,floor,latitude,longitude,price,rooms,sq,year,price_per_sq
Podgórze,Kraków,2.0,50.0492242,19.9703793,749000.0,3.0,74.05,2021.0,10114.78730587441
Krowodrza,Kraków,2.0,50.0669642,19.9200249,427000.0,2.0,37.0,1970.0,11540.54054054054
Nowa Huta,Kraków,2.0,50.0469432,19.997153435836697,414600.0,1.0,34.55,2022.0,12000.000000000002
Podgórze,Kraków,0.0,50.0498929,19.9906026,750000.0,4.0,81.4,2021.0,9213.759213759213
Nowa Huta,Kraków,1.0,50.0469432,19.997153435836697,756707.4,4.0,82.43,2021.0,9180.0
Stare Miasto,Kraków,0.0,50.0590398,19.93716829792899,949000.0,2.0,84.8,1936.0,11191.037735849057
Prądnik Biały,Kraków,6.0,50.0949773,19.920405494289955,405900.0,2.0,41.0,2022.0,9900.0
Dębniki,Kraków,4.0,50.0206269,19.8981903,699000.0,2.0,60.0,2010.0,11650.0
Nowa Huta,Kraków,2.0,50.0469432,19.997153435836697,529000.0,3.0,53.84,2021.0,9825.408618127783
Zwierzyniec,Kraków,0.0,50.067974,19.8748544,899000.0,3.0,74.44,2020.0,12076.84040838259
Podgórze Duchackie,Kraków,6.0,50.0242313,19.959569,539000.0,3.0,57.81,2021.0,9323.64642795364
Grzegórzki,Kraków,8.0,50.058444,19.9702351,971904.0,3.0,75.93,2021.0,12799.999999999998
Dębniki,Kraków,1.0,49.9988318,19.8938784,266500.0,1.0,31.59,2020.0,8436.213991769548
Nowa Huta,Kraków,6.0,50.0816349,20.016490706002102,498000.0,2.0,49.08,2019.0,10146.699266503669
Krowodrza,Kraków,10.0,50.07087985,19.91656311814478,455000.0,3.0,45.0,1976.0,10111.111111111111
Bronowice,Kraków,4.0,50.0778251,19.90068098696576,1038636.0,3.0,88.02,2021.0,11800.0
Prądnik Czerwony,Kraków,2.0,50.081864,19.9546492,349000.0,2.0,37.06,1980.0,9417.161359956826
Nowa Huta,Kraków,3.0,50.0469432,19.997153435836697,709000.0,2.0,53.4,1926.0,13277.153558052434
Grzegórzki,Kraków,0.0,50.064613,19.9820189,730000.0,3.0,73.81,2013.0,9890.258772524048
Podgórze,Kraków,4.0,50.0164142,19.9837781,439000.0,3.0,48.2,1980.0,9107.883817427386
Podgórze,Kraków,2.0,50.0498929,19.9906026,543558.0,3.0,53.0,2021.0,10255.811320754718
Bieżanów-Prokocim,Kraków,4.0,50.0225216,20.0481276,290829.0,2.0,37.77,2021.0,7699.999999999999
Nowa Huta,Kraków,1.0,50.087129,19.9950474,580000.0,3.0,62.0,2014.0,9354.83870967742
Stare Miasto,Kraków,3.0,50.0619474,19.9368564,429000.0,2.0,46.69,2021.0,9188.263011351468
Podgórze Duchackie,Kraków,5.0,50.0146222,19.953758,546910.0,3.0,60.1,2021.0,9100.0
Bronowice,Kraków,1.0,50.0788285,19.8942504,302111.2,1.0,29.33,2021.0,10300.415956358678
Mistrzejowice,Kraków,1.0,50.09742625,20.00960263225891,502374.0,4.0,66.12,2020.0,7597.912885662431
Prądnik Biały,Kraków,5.0,50.0949773,19.920405494289955,418362.0,3.0,46.94,2021.0,8912.697060076694
Prądnik Czerwony,Kraków,2.0,50.0859419,19.96660060819073,510000.0,3.0,52.83,1980.0,9653.605905735378
Dębniki,Kraków,1.0,50.0204807,19.8980137,529900.0,2.0,54.0,2007.0,9812.962962962964
Prądnik Biały,Kraków,1.0,50.0863097,19.9139884,440000.0,2.0,48.4,2008.0,9090.909090909092
Bieżanów-Prokocim,Kraków,0.0,50.01706235,20.022991856015395,498312.0,4.0,61.52,2021.0,8100.0
